what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1466123368358
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1466123368919
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466123369465
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466123371449
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466123371489
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466123375024
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1466123375508
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466123376881
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466123378675
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1466123378690
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466123380562
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466123385383
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1466123405912
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1466123405975
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1466123405975
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466123407597
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466123425521
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466123428283
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466123433477
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.properties",1466123433509
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PropertiesFileEditor",1466123434039
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466123438095
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466123443680
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466123460341
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466123466659
