what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466146563087
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1466146574943
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1466146575131
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466146578469
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1466146578953
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466146579748
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466146585130
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466146588547
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466146588874
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466146588937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466146595223
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466146651087
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1466146652725
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466146656984
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1466146657389
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466146669854
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466146669901
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466146669963
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466146672365
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466146677872
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1466146680212
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466146680992
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1466146691850
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1466146698230
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1466146698636
