what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466150273809
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1466150275416
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466150275774
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466150285088
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466150288691
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466150293231
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466150300813
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466150304105
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466150316975
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466150331219
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466150334105
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466150337662
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466150342702
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466150345042
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466150347740
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466150350050
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466150352250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1466150354200
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1466150363982
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466150365698
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466150365729
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466150374668
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466150377788
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1466150378459
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1466150380580
